Operator/Building,Zones in Building,Client IP's
/TISH/1230,86,849
/INDS/PAS2,79,526
/INDS/WC,71,615
/INDS/DEM,67,634
/HUGO/KEAR,66,925
/INDS/LA3,66,634
/INDS/WM,63,550
/INDS/PCM,62,487
/INDS/FSQ,60,441
/EXEC/HIP,60,288
/INDS/GLEN,59,487
/INDS/6060,58,604
/INDS/STP,58,461
/INDS/NPB,57,528
/INDS/TAM2,56,490
/INDS/TOR,55,519
/INDS/DART,55,416
/INDS/NYC,54,662
/INDS/LAS,53,619
/INDS/HY,53,490
/INDS/PLA,53,448
/INDS/SAN2,53,445
/INDS/909,52,474
/INDS/ABER,50,614
/INDS/TAM3,50,315
/FOUR/LAND,49,425
/INDS/BEL,48,773
/UNI/BUF,48,171
/INDS/COL2,47,400
/INDS/DIV,47,304
/INDS/323,45,560
/CARR/1455,45,424
/INDS/KC,45,419
/INDS/CARM,44,549
/JLL/RES,44,174
/INDS/BET,43,365
/ES/MS,42,2963
/INDS/1PP,42,806
/INDS/PHX2,42,479
/INDS/AUS,42,239
/CC/PLA,41,1789
/INDS/MIA,41,458
/INDS/MAN,41,440
/INDS/BOULD,41,403
/MAY/WAU,41,399
/INDS/NYC5,41,334
/INDS/BCK,41,182
/FUSE/PRO,41,162
/TISH/VAR,40,482
/VX/OAK,40,260
/INDS/IRV,39,445
/INDS/TEM,39,401
/INDS/SD,38,401
/INDS/PAS,38,387
/INDS/ARL2,38,369
/INDS/CHAR,38,336
/JLL/CHES,38,303
/INDS/BLS,38,248
/INDS/BK,38,224
/INDS/135,37,583
/INDS/MIA5,37,400
/INDS/PHI2,37,365
/VX/DEN2,37,350
/INDS/ROSE,37,275
/SER/WSP,37,257
/INDS/HOU2,36,603
/SER/KAN,36,320
/CARR/DIA,36,297
/TISH/42,35,572
/INDS/IRV2,35,374
/INDS/DC3,35,271
/INDS/DC2,35,237
/INDS/SC,35,216
/CARR/LAS,34,498
/INDS/NYC7,34,369
/INDS/HUD,34,279
/INDS/NYC8,34,251
/TISH/BEV,34,199
/INDS/PIT2,33,420
/INDS/BK2,33,357
/INDS/SFL,33,294
/INDS/1722,33,145
/TISH/AQWA,32,817
/CARR/MAM,32,273
/INDS/BOST,32,182
/INDS/DC,32,171
/LAU/DC2,31,2266
/CARR/4800,31,187
/CARR/WIS,31,179
/INDS/DED,31,170
/INDS/AUS2,30,399
/PREM/IRV,30,304
/INDS/MIA4,30,251
/SER/MEM,30,235
/INDS/2033,30,203
/INDS/1411,29,549
/INDS/PAL,29,484
/INDS/NYC4,29,445
/INDS/CH,29,284
/CARR/LIB,29,218
/INDS/101,29,150
/TISH/300,28,358
/INDS/233,27,358
/VX/BETH,27,293
/INDS/DFM,27,259
/INDS/1801,27,227
/CC/NCE,27,212
/INDS/PHI,27,153
/OLI/CAR,27,147
/INDS/PHI3,26,348
/INDS/NSH,26,239
/TISH/CHI,26,235
/INDS/LA1,26,192
/VX/ARL,26,188
/INDS/WPB,26,177
/INDS/BOST4,26,153
/TISH/BOS,25,424
/INDS/ARL,25,367
/INDS/2311,25,211
/INDS/STY,25,141
/JLL/15,25,107
/INDS/NYC6,24,360
/INDS/CM,24,348
/INDS/TYS,24,293
/SYW/PB,24,264
/INDS/RAL2,24,193
/CARR/ER,24,153
/CARR/300,24,121
/INDS/SH,23,462
/SER/MAR,23,331
/INDS/JC,23,311
/CARR/745,23,248
/INDS/POR,23,217
/SER/MAD,23,209
/FUSE/HOU,23,168
/HINE/HOU2,23,161
/CARR/ELW,23,126
/NYCOS/AA,23,92
/TW/VB,23,83
/CARR/KST,22,270
/HINE/HOU,22,236
/INDS/CLAY,22,206
/CC/FW,22,201
/SCC/350,22,168
/INDS/SAN,22,167
/SER/MNT,22,159
/CARR/TYS,22,149
/FUSE/AUS,22,147
/SYW/HQ,22,146
/JLL/DIS,22,88
/KILN/PC,21,2166
/INDS/AUS3,21,418
/SER/WP,21,265
/INDS/SEA,21,175
/TISH/DC,21,169
/VX/HOLY,21,157
/LAU/CP,21,151
/INDS/LA5,21,122
/INDS/NYC3,21,116
/CARR/3033,21,85
/SER/MCK,20,246
/INDS/PORT2,20,213
/INDS/CHI2,20,188
/SER/CLA,20,129
/YO/CH,20,112
/CARR/1701,20,106
/INDS/PHX,19,335
/INDS/SLC2,19,248
/EOO/AVI,19,188
/DD/ML,19,156
/INDS/MIN1,19,132
/JLL/LIC,18,407
/TISH/333,18,274
/SER/BUF2,18,183
/INDS/IND,18,178
/INDS/CHI3,18,160
/THR/CH,18,146
/DD/WB,18,142
/INDS/CAM,18,106
/SER/ROCH,17,674
/TISH/CON,17,414
/TISH/595,17,212
/VX/DEN,17,198
/VX/SA,17,153
/SER/ATL,17,139
/HELIX/295,17,106
/SER/RID,16,629
/INDS/SAN3,16,163
/COVE/AL,16,131
/TISH/CS,16,115
/CC/DAL,16,100
/INDS/BOST3,16,97
/SER/DEN2,16,66
/JLL/NSH,15,526
/CARR/EMB,15,195
/LAU/MD1,15,93
/INDS/DC7,14,156
/JLL/SEA,14,117
/INDS/DC4,13,127
/CARR/SFL,13,112
/JLL/CRYS,13,107
/JLL/CHI,13,104
/MC/HOU,13,70
/BES/SL,13,59
/NYCOS/420,13,52
/DP/PL,13,34
/SER/ATL3,12,192
/TISH/5TH,12,56
/CARR/1325,12,49
/ARP/VAN,11,984
/INDS/DC9,11,162
/INDS/ATM,11,88
/CARR/1050,11,35
/SYW/MAD,10,66
/ADVAN/CC,10,63
/LV/CG,10,42
/DCW/GST,10,40
/INDS/6601,9,351
/INDS/152,9,193
/CARR/CTA,9,136
