<expr>,rows.integrated.per_minute,
1677628800.0,891149,
1677628860.0,929908,
1677628920.0,925515,
1677628980.0,732270,
1677629040.0,765234,
1677629100.0,895162,
1677629160.0,918591,
1677629220.0,920504,
1677629280.0,817262,
1677629340.0,694235,
1677629400.0,800321,
1677629460.0,860033,
1677629520.0,889143,
1677629580.0,931128,
1677629640.0,914049,
1677629700.0,887588,
1677629760.0,828211,
1677629820.0,874566,
1677629880.0,967353,
1677629940.0,962237,
1677630000.0,1079332,
1677630060.0,1468623,
1677630120.0,874844,
1677630180.0,890174,
1677630240.0,856621,
1677630300.0,926296,
1677630360.0,903120,
1677630420.0,886456,
1677630480.0,854832,
1677630540.0,862504,
1677630600.0,938737,
1677630660.0,1210313,
1677630720.0,867053,
1677630780.0,962329,
1677630840.0,1377021,
1677630900.0,826179,
1677630960.0,842826,
1677631020.0,851656,
1677631080.0,824422,
1677631140.0,814966,
1677631200.0,830567,
1677631260.0,843532,
1677631320.0,811191,
1677631380.0,1021718,
1677631440.0,1776870,
1677631500.0,1203671,
1677631560.0,1156069,
1677631620.0,916342,
1677631680.0,812952,
1677631740.0,845358,
1677631800.0,816519,
1677631860.0,814644,
1677631920.0,784885,
1677631980.0,736616,
1677632040.0,783873,
1677632100.0,763134,
1677632160.0,798404,
1677632220.0,778626,
1677632280.0,721215,
1677632340.0,759362,
1677632400.0,830935,
1677632460.0,804293,
1677632520.0,790280,
1677632580.0,789683,
1677632640.0,812625,
1677632700.0,752764,
1677632760.0,783049,
1677632820.0,754529,
1677632880.0,746137,
1677632940.0,726938,
1677633000.0,728229,
1677633060.0,770976,
1677633120.0,757731,
1677633180.0,751465,
1677633240.0,731957,
1677633300.0,675490,
1677633360.0,761732,
1677633420.0,763351,
1677633480.0,737904,
1677633540.0,1162011,
1677633600.0,800688,
1677633660.0,811840,
1677633720.0,787726,
1677633780.0,822175,
1677633840.0,802203,
1677633900.0,701192,
1677633960.0,698515,
1677634020.0,723760,
1677634080.0,689638,
1677634140.0,576181,
1677634200.0,702890,
1677634260.0,687433,
1677634320.0,720020,
1677634380.0,692307,
1677634440.0,704568,
1677634500.0,693525,
1677634560.0,718899,
1677634620.0,694934,
1677634680.0,706735,
1677634740.0,831359,
1677634800.0,738577,
1677634860.0,703436,
1677634920.0,694804,
1677634980.0,693001,
1677635040.0,733469,
1677635100.0,735900,
1677635160.0,815842,
1677635220.0,934389,
1677635280.0,1117989,
1677635340.0,1382379,
1677635400.0,1209868,
1677635460.0,833106,
1677635520.0,723370,
1677635580.0,785346,
1677635640.0,837108,
1677635700.0,791864,
1677635760.0,930109,
1677635820.0,960421,
