application.name,server.rt,traffic,
irc,15.812651947598251,252332,
Outlook,5.625524103392405,103375642,
xmpp,3.3021036036906852,1018859,
MS Teams,2.644435503178212,1131354559,
sip-tls,1.3262214256441616,117166297,
imaps,1.088874061416153,1058413873,
https,1.0809285548684229,214009426669,
Google,0.6257204077313098,13161368482,
tls,0.543807146546361,31930550435,
ssmtp,0.41866016249999993,221101,
Connect,0.4122513539823009,579855,
gnutella,0.2267277527593819,9709266,
Microsoft,0.1983994572945852,82577573091,
Zoom,0.1542688738997012,254757537,
ldaps,0.14941158588235293,7748730,
Office365,0.08279188688237835,17624637072,
SharePoint,0.07359413034280574,3472545853,
kerberos,0.0681786907985926,38340037,
smtp,0.0574176,297189,
pop3,0.05362372307692307,572002,
pop3s,0.04274921231422506,1212263,
rdp,0.01340284224011713,99604391,
yahoo,missing,577508,
ipp,missing,243,
