<expr>,rows.integrated.per_minute,
1680604320.0,2089,
1680604380.0,2872,
1680604440.0,1767,
1680604500.0,2145,
1680604560.0,1973,
1680604620.0,2143,
1680604680.0,2383,
1680604740.0,2134,
1680604800.0,1885,
1680604860.0,2234,
1680604920.0,2814,
1680604980.0,4416,
1680605040.0,3857,
1680605100.0,4081,
1680605160.0,3641,
1680605220.0,3859,
1680605280.0,3631,
1680605340.0,4761,
1680605400.0,3727,
1680605460.0,4062,
1680605520.0,3986,
1680605580.0,4685,
1680605640.0,3965,
1680605700.0,4129,
1680605760.0,3954,
1680605820.0,3752,
1680605880.0,3911,
1680605940.0,4361,
1680606000.0,3619,
1680606060.0,5013,
1680606120.0,3729,
1680606180.0,4551,
1680606240.0,3865,
1680606300.0,4204,
1680606360.0,4046,
1680606420.0,3970,
1680606480.0,3698,
1680606540.0,4121,
1680606600.0,3451,
1680606660.0,4380,
1680606720.0,3499,
1680606780.0,4148,
1680606840.0,3546,
1680606900.0,3750,
1680606960.0,3656,
1680607020.0,3753,
1680607080.0,3985,
1680607140.0,4065,
1680607200.0,3418,
1680607260.0,4191,
1680607320.0,3567,
1680607380.0,4276,
1680607440.0,3447,
1680607500.0,3507,
1680607560.0,3782,
1680607620.0,3623,
1680607680.0,3557,
1680607740.0,3639,
1680607800.0,2817,
1680607860.0,3909,
1680607920.0,3077,
1680607980.0,4261,
1680608040.0,3627,
1680608100.0,3472,
1680608160.0,3722,
1680608220.0,3561,
1680608280.0,3403,
1680608340.0,3801,
1680608400.0,2894,
1680608460.0,3934,
1680608520.0,3392,
1680608580.0,3998,
1680608640.0,3498,
1680608700.0,3687,
1680608760.0,3827,
1680608820.0,3521,
1680608880.0,3484,
1680608940.0,3793,
1680609000.0,3075,
1680609060.0,3805,
1680609120.0,3114,
1680609180.0,4028,
1680609240.0,3413,
1680609300.0,3351,
1680609360.0,3495,
1680609420.0,3598,
1680609480.0,3506,
1680609540.0,3978,
1680609600.0,3082,
1680609660.0,3952,
1680609720.0,3203,
1680609780.0,4073,
1680609840.0,3388,
1680609900.0,3280,
1680609960.0,3498,
1680610020.0,3540,
1680610080.0,3241,
1680610140.0,4499,
1680610200.0,2867,
1680610260.0,3392,
1680610320.0,3003,
1680610380.0,3767,
1680610440.0,3462,
1680610500.0,3236,
1680610560.0,3702,
1680610620.0,3512,
1680610680.0,3644,
1680610740.0,3692,
1680610800.0,2987,
1680610860.0,3737,
1680610920.0,3156,
1680610980.0,3825,
1680611040.0,3908,
1680611100.0,3720,
1680611160.0,3612,
1680611220.0,3569,
1680611280.0,3557,
1680611340.0,4296,
1680611400.0,2951,
1680611460.0,3966,
1680611520.0,3034,
1680611580.0,4159,
1680611640.0,3164,
1680611700.0,3324,
1680611760.0,3512,
1680611820.0,3528,
1680611880.0,3330,
1680611940.0,3667,
1680612000.0,3021,
1680612060.0,3796,
1680612120.0,2910,
1680612180.0,3699,
1680612240.0,3156,
1680612300.0,3332,
1680612360.0,3273,
1680612420.0,3403,
1680612480.0,3393,
1680612540.0,3627,
1680612600.0,3057,
1680612660.0,3932,
1680612720.0,3149,
1680612780.0,4085,
1680612840.0,3388,
1680612900.0,3423,
1680612960.0,3264,
1680613020.0,3275,
1680613080.0,3275,
1680613140.0,3644,
1680613200.0,2818,
1680613260.0,3859,
1680613320.0,2904,
1680613380.0,3828,
1680613440.0,3297,
1680613500.0,3494,
1680613560.0,3488,
1680613620.0,3400,
1680613680.0,3428,
1680613740.0,3640,
1680613800.0,2988,
1680613860.0,4085,
1680613920.0,2970,
1680613980.0,3803,
1680614040.0,3113,
1680614100.0,3193,
1680614160.0,3768,
1680614220.0,3247,
1680614280.0,3432,
1680614340.0,3655,
1680614400.0,2938,
1680614460.0,3938,
1680614520.0,3097,
1680614580.0,3721,
1680614640.0,3329,
1680614700.0,3288,
1680614760.0,3449,
1680614820.0,3436,
1680614880.0,3229,
1680614940.0,3682,
1680615000.0,2993,
1680615060.0,3313,
1680615120.0,2988,
1680615180.0,4017,
1680615240.0,3358,
1680615300.0,3267,
1680615360.0,3469,
1680615420.0,3243,
1680615480.0,3235,
1680615540.0,3425,
1680615600.0,2767,
1680615660.0,3740,
1680615720.0,2926,
1680615780.0,3725,
1680615840.0,3397,
1680615900.0,3324,
1680615960.0,3454,
1680616020.0,3669,
1680616080.0,3464,
1680616140.0,3735,
1680616200.0,2923,
1680616260.0,3811,
1680616320.0,3193,
1680616380.0,3873,
1680616440.0,3269,
1680616500.0,3630,
1680616560.0,3396,
1680616620.0,3185,
1680616680.0,3187,
1680616740.0,3594,
1680616800.0,2880,
1680616860.0,3940,
1680616920.0,3177,
1680616980.0,3845,
1680617040.0,3421,
1680617100.0,3078,
1680617160.0,3461,
1680617220.0,3419,
1680617280.0,3531,
1680617340.0,3137,
1680617400.0,2758,
1680617460.0,3953,
1680617520.0,3172,
1680617580.0,3762,
1680617640.0,3111,
1680617700.0,3319,
1680617760.0,3484,
1680617820.0,3260,
1680617880.0,3397,
1680617940.0,3771,
1680618000.0,2627,
1680618060.0,3728,
1680618120.0,2967,
1680618180.0,3784,
1680618240.0,3328,
1680618300.0,3220,
1680618360.0,3407,
1680618420.0,3451,
1680618480.0,3108,
1680618540.0,4136,
1680618600.0,2791,
1680618660.0,3956,
1680618720.0,2838,
1680618780.0,4103,
1680618840.0,3177,
1680618900.0,3742,
1680618960.0,3356,
1680619020.0,3814,
1680619080.0,3449,
1680619140.0,3714,
1680619200.0,2999,
1680619260.0,3797,
1680619320.0,3017,
1680619380.0,3751,
1680619440.0,3186,
1680619500.0,3234,
1680619560.0,3365,
1680619620.0,3325,
1680619680.0,3386,
1680619740.0,3594,
1680619800.0,2847,
1680619860.0,3299,
1680619920.0,2982,
1680619980.0,3950,
1680620040.0,3232,
1680620100.0,3195,
1680620160.0,3372,
1680620220.0,3688,
1680620280.0,3422,
1680620340.0,3582,
1680620400.0,2771,
1680620460.0,3660,
1680620520.0,2796,
1680620580.0,3758,
1680620640.0,3035,
1680620700.0,3312,
1680620760.0,3353,
1680620820.0,3571,
1680620880.0,3444,
1680620940.0,3647,
1680621000.0,2972,
1680621060.0,3773,
1680621120.0,2969,
1680621180.0,3847,
1680621240.0,3373,
1680621300.0,3181,
1680621360.0,3422,
1680621420.0,3389,
1680621480.0,3251,
1680621540.0,3591,
1680621600.0,2910,
1680621660.0,3689,
1680621720.0,2987,
1680621780.0,3768,
1680621840.0,3368,
1680621900.0,3279,
1680621960.0,3177,
1680622020.0,3556,
1680622080.0,3478,
1680622140.0,3470,
1680622200.0,2824,
1680622260.0,3872,
1680622320.0,2923,
1680622380.0,4041,
1680622440.0,3055,
1680622500.0,3404,
1680622560.0,3401,
1680622620.0,3537,
1680622680.0,3292,
1680622740.0,3518,
1680622800.0,2906,
1680622860.0,3736,
1680622920.0,2885,
1680622980.0,3911,
1680623040.0,3292,
1680623100.0,3332,
1680623160.0,3425,
1680623220.0,3384,
1680623280.0,3170,
1680623340.0,3578,
1680623400.0,2858,
