<expr>,capture.hostname,<expr>,<expr>,
/ES/MS,acc-capture-ny1-01,676,41,
/LAU/DC2,acc-capture-ny1-01,668,35,
/TISH/1230,acc-capture-ny1-01,540,67,
/INDS/1PP,acc-capture-ny1-01,466,41,
/HUGO/KEAR,acc-capture-ny1-01,400,75,
/WB/CH,acc-capture-ny1-01,378,8,
/CC/PLA,acc-capture-ny1-01,360,30,
/INDS/NYC,acc-capture-ny1-01,350,52,
/INST/SM,acc-capture-ny1-01,346,3,
/WB/CH,acc-capture-tx-01,316,8,
/ARP/VAN,acc-capture-ny1-01,289,9,
/MILL/BOS,acc-capture-ny1-01,287,5,
/INDS/6060,acc-capture-sv2-02,282,29,
/ES/MS,acc-capture-tx-01,270,31,
/INDS/135,acc-capture-ny1-01,269,24,
/INDS/DART,acc-capture-ny1-01,267,49,
/INDS/STP,acc-capture-ny1-01,245,56,
/INDS/HOU2,acc-capture-tx-01,243,30,
/EXEC/HIP,acc-capture-ny1-01,242,58,
/JLL/NSH,acc-capture-ny1-01,240,10,
/TISH/VAR,acc-capture-ny1-01,225,36,
/TISH/1270,acc-capture-ny1-01,219,9,
/INDS/NYC5,acc-capture-ny1-01,208,38,
/ES/SM,acc-capture-ny1-01,204,5,
/INDS/PLA,acc-capture-tx-01,200,44,
/INDS/PAL,acc-capture-sv2-02,198,27,
/TISH/42,acc-capture-ny1-01,195,24,
/INDS/JC,acc-capture-ny1-01,194,25,
/INDS/DEM,acc-capture-atl-01,191,49,
/INDS/BEL,acc-capture-se2-01,190,31,
/FOUR/LAND,acc-capture-ny1-01,189,39,
/TISH/AQWA,acc-capture-ny1-01,181,19,
/JLL/CHES,acc-capture-ny1-01,178,29,
/INDS/PCM,acc-capture-atl-01,176,50,
/INDS/CH,acc-capture-ny1-01,174,29,
/INDS/CHAR,acc-capture-ny1-01,173,35,
/INDS/WC,acc-capture-sv2-02,168,41,
/INDS/NPB,acc-capture-sv2-01,167,38,
/INDS/MIA,acc-capture-atl-01,163,38,
/INDS/CARM,acc-capture-tx-01,162,31,
/HINE/HOU,acc-capture-tx-01,162,12,
/INST/SM,acc-capture-tx-01,162,3,
/SCC/CHI,acc-capture-ny1-01,161,4,
/INDS/PHX2,acc-capture-sv2-01,156,27,
/WB/CH,acc-capture-sv2-01,156,6,
