<expr>,ct.count,
/Public/Fallback,109239785,
/Local,55357360,
/VARI/COP/MANAGE7861,12794052,
/INST/SM/GUESTW8057,7335593,
/INST/SM/MANAGE2778,5489076,
/TISH/VAR/KATANA1158,4953138,
/INDS/WM/WAREMA2590,4875050,
/INST/SM/LHIGRO8172,4500888,
/TISH/1230/OLIVER3752,4315664,
/BR/RES/TENANT8909,3901352,
/WB/CH/SITEDT8693,3779199,
/WB/CH/ENGAGI8038,3570095,
/WB/CH/HENDER6920,3504584,
/INDS/6701/MAXIMH3831,3458819,
/OPT/AL/OPTIMU9039,3230234,
/SCC/CHI/CAVENT7693,3148190,
/TISH/42/IMPAXA0728,3093982,
/KILN/PC/ELANGR5070,2781761,
/INDS/6601/VIZIO21738,2741072,
/SER/MEM/RHEUMA6531,2672229,
/WB/CH/ASCEND6383,2434650,
/BR/LEN/BRIDGE6805,2412078,
/TISH/BOS/DAVIS67538,2390532,
/HUGO/KEAR/ICORAS0607,2353675,
/SCC/CHI/ADP4298756,2182978,
/EXEC/HIP/LONGRI0492,2171038,
/ES/MS/WIFIG5699,2145457,
/INDS/HOU2/HOMEBA9702,2121764,
/VARI/SL/VARISP5910,2113337,
/INDS/NYC/TOOLOS4704,2076988,
/WB/CH/ECONTE7958,2060898,
/INDS/TYS/THEMED3749,2051454,
/HINE/HOU2/HINESO9101,2046268,
/ENT/300/TRUSTP1923,2042044,
/INDS/6601/INSIGH0449,1999542,
/SYW/PB/MANAGE1964,1985770,
/VARI/COP/FNSINC6547,1978531,
/SCC/CHI/AXISIN6384,1956758,
/JLL/DIS/PLATIN0337,1848788,
/HELIX/535/COHENC2726,1801574,
/INDS/PAS/PREPDE1316,1736989,
/INDS/GLEN/WILDCA2061,1704385,
/WAG/BX/ADVOCA2314,1697065,
/CARR/ER/HASHTO3060,1682449,
/ARP/VAN/ANDCOS6044,1669329,
/ARP/VAN/MATFAM4705,1539235,
/TISH/VAR/GUESTW5976,1489658,
/TISH/1230/GUESTW0119,1488966,
/KILN/PC/LYNNSM3564,1485138,
/ARP/VAN/DEDICA0139,1443673,
/ENT/300/FOCUSC3720,1391348,
/INDS/LAS/JANEST6626,1387097,
/TISH/1270/STUDIO2010,1386011,
/SCC/CM/GULDJI5117,1375881,
/TISH/AQWA/INVEST9982,1360558,
/INDS/1PP/GUESTW3513,1314324,
/TISH/1230/CLARKS2187,1311433,
/INDS/PAL/INFLEC5392,1285980,
/INDS/DART/MARATH4700,1263381,
/TISH/1R/TISHMA2235,1255064,
/INDS/PHX2/LOUNGE4368,1246320,
/LAU/DC2/JUSTIC1380,1240808,
/HUGO/KEAR/DISNEY1866,1216693,
/ES/SM/MANAGE6060,1205470,
/ES/MS/TOBYTE9681,1192924,
/KILN/PC/MOMENT1994,1174528,
/CBRE/PAL/GUESTW5252,1167561,
/CC/NCE/AMPLIF2916,1166519,
/ES/MS/COMPAN1683,1155993,
/SER/LA1/GUESTW1645,1152242,
/KILN/PC/LQAM151731,1149815,
/TISH/1230/ALANTR4936,1144669,
/ES/MS/TMSINC3159,1137672,
/INDS/32/AIRTAB8721,1135435,
/INDS/NYC5/GUESTW5533,1127659,
/INDS/1PP/INDEPE8113,1123825,
