<expr>,<expr>,<expr>,
/BRU/PLAT,75,705,
/MOS/MIN,60,1406,
/ORE/GRE,54,811,
/EOG/NAS,51,843,
/EOG/CEN,49,809,
/EOG/42BRO,49,509,
/MEN/SP,49,436,
/EOG/STJ,49,411,
/STEL/CEN,48,324,
/EOG/KNG,45,682,
/EOG/KWS,44,645,
/OXI/HAR,44,260,
/I2/PORT,41,690,
/I2/SP,41,555,
/OXI/COL,41,313,
/EOG/MICH,39,482,
/I2/33CAV,39,467,
/I2/48DS,39,280,
/HMC/PG,38,1081,
/I2/CP,38,471,
/PT/PORT,38,304,
/EOG/DAV,36,622,
/I2/GS,36,476,
/HMC/15HAN,36,137,
/OXI/DART,35,240,
/CHOR/SF,34,524,
/SOC/IC,34,330,
/DC/ML,34,201,
/I2/75KWS,33,625,
/EOG/OCP,33,579,
/I2/OBS,33,466,
/I2/BP,33,298,
/OXI/WIT,33,297,
/EOG/FAR,33,282,
/WJ/JBC,33,164,
/I2/GP,31,473,
/BIO/NOT,31,296,
/EOG/GRE,30,578,
/I2/BEV,30,460,
/EOG/NOR,30,441,
/EOG/EAG,30,396,
/TCN/KIL,30,357,
/OXI/MAN,30,244,
/NEX/CM,30,145,
/BRU/NEO,30,140,
/IW/SPEC,29,396,
/I2/SH,29,323,
/EOG/84BRO,29,318,
/ORE/LOM,29,223,
/EOG/COR,28,814,
/EOG/PAL,28,332,
/I2/HT,28,330,
/TCN/ASS,27,422,
/OXI/HAV,27,351,
/GMH/MORT,27,288,
/OXI/BRA,27,281,
/OXI/OVIC,27,230,
/EOG/67GST,26,318,
/I2/GIL,25,525,
/EOG/BIS,25,337,
/OXI/OCFI,25,291,
/EOG/HUD,25,281,
/EOG/PON,25,219,
/EOG/BSQ,25,216,
/MAS/MOR,24,599,
/I2/TQ,24,541,
/I2/BG,24,418,
/VX/CP,24,398,
/MOD/WAR,24,196,
/I2/BEAU,22,546,
/BOU/22STJ,22,340,
/BIO/MCN,22,292,
/I2/DS,22,245,
/SOC/CQ,22,207,
/I2/PIN,21,268,
/ORE/SP,20,244,
/OXI/CHER,20,239,
/EOG/CURZ,20,232,
/EOG/HILL,20,221,
/I2/NCS,20,216,
/I2/CAN,19,351,
/BIO/SCO,19,309,
/I2/15ALF,19,287,
/I2/RX,19,252,
/I2/MK,19,173,
/OXI/WCFI,18,371,
/OXI/CUL,18,137,
/SOC/DH,17,80,
/IND/HAM,16,493,
/IND/WIND,16,423,
/I2/111PS,16,176,
/EOG/32CURZ,16,160,
/I2/EP,16,134,
/EOG/OQS,16,99,
/I2/81CL,15,245,
/I2/GW,15,156,
/SOC/MILL,14,239,
/CIS/BART,14,161,
/OXI/BIC,14,120,
/LEEDS/NXS,14,104,
/EOG/28GST,13,293,
/TVSP/TG,13,147,
/EOG/CSQ,12,222,
/I2/NEW,12,176,
/CHAT/LBH,11,186,
/I2/GRE,10,160,
/UON/NIC,10,110,
/TCN/FRI,9,135,
/DC/KC,9,102,
/EOG/SLO,8,123,
/CW/ABP,7,159,
/ORE/CHAP,6,6,
/CHAT/WAL,5,360,
/OXI/UCAV,4,44,
/MOD/WYTH,4,29,
/OXI/BNU,4,25,
/HMC/HAN,4,4,
/ES/TS,3,3,
/WAL/WRD,3,3,
/MOD/MOOR,2,14,
/Public/Fallback,1,1392078,
/Local,1,85322,
/Local/Multicast,1,276,
/LSP/IC,1,9,
/CHAT/PULL,1,3,
/ES/ALD,1,1,
/ES/STEP,1,1,
/I2/AG,1,1,
/Local/Broadcast,1,1,
/SWMAS/SE,1,1,
