<expr>,<expr>,<expr>,
/TISH/1230,86,965,
/INDS/PAS2,81,573,
/INDS/WC,77,630,
/INDS/PCM,74,626,
/INDS/WM,71,763,
/INDS/LA3,69,677,
/INDS/DEM,69,604,
/INDS/SAN2,66,569,
/INDS/FSQ,65,507,
/HUGO/KEAR,64,906,
/INDS/GLEN,64,531,
/INDS/6060,64,507,
/INDS/NYC,63,895,
/INDS/DART,62,679,
/EXEC/HIP,62,293,
/INDS/NPB,60,543,
/INDS/STP,58,536,
/INDS/PLA,57,495,
/INDS/BEL,56,872,
/INDS/TAM2,56,501,
/INDS/909,55,543,
/INDS/ABER,54,679,
/FOUR/LAND,53,457,
/INDS/TEM,53,420,
/INDS/LAS,51,692,
/INDS/HY,51,558,
/INDS/TOR,51,464,
/UNI/BUF,50,175,
/INDS/KC,49,473,
/INDS/CARM,48,654,
/VX/DEN2,48,399,
/INDS/BET,48,359,
/INDS/BK2,47,387,
/INDS/1PP,46,1337,
/INDS/323,46,782,
/CARR/1455,46,504,
/INDS/TAM3,46,423,
/INDS/COL2,46,387,
/JLL/RES,46,214,
/INDS/MAN,45,539,
/INDS/PHI2,45,443,
/MAY/WAU,44,447,
/INDS/NYC5,44,374,
/INDS/PHX2,43,533,
/INDS/DIV,43,345,
/TISH/BEV,43,245,
/INDS/AUS,43,218,
/ES/MS,42,3351,
/INDS/MIA,42,556,
/TISH/VAR,42,526,
/INDS/MIA5,42,457,
/INDS/SD,42,452,
/INDS/DC2,42,436,
/INDS/BCK,42,202,
/INDS/SC,42,197,
/INDS/BK,41,222,
/CC/PLA,40,1977,
/INDS/HOU2,40,677,
/INDS/NYC7,39,494,
/INDS/CHAR,39,422,
/INDS/ARL2,39,396,
/INDS/BOULD,39,388,
/INDS/SFL,39,388,
/INDS/BOST,39,341,
/CARR/DIA,39,321,
/FUSE/PRO,39,168,
/SER/KAN,38,408,
/INDS/HUD,38,374,
/VX/OAK,38,352,
/INDS/BLS,38,244,
/INDS/IRV,37,456,
/INDS/PIT2,37,416,
/INDS/ROSE,37,271,
/INDS/DC,37,186,
/INDS/PAS,36,344,
/JLL/CHES,36,332,
/INDS/1801,36,258,
/INDS/135,35,740,
/CARR/LAS,35,512,
/INDS/NYC8,35,401,
/INDS/IRV2,35,377,
/INDS/DC3,34,296,
/SER/WSP,34,280,
/INDS/DED,34,254,
/INDS/1722,34,163,
/INDS/2033,32,275,
/INDS/101,32,186,
/LAU/DC2,31,2469,
/TISH/AQWA,31,920,
/TISH/42,31,766,
/TISH/BOS,31,522,
/TISH/300,31,436,
/PREM/IRV,31,396,
/INDS/TYS,31,391,
/CARR/MAM,31,299,
/CARR/WIS,31,157,
/INDS/PAL,30,604,
/INDS/NYC4,30,603,
/INDS/233,30,480,
/INDS/MIA4,30,253,
/CARR/4800,30,214,
/INDS/STY,30,171,
/INDS/1411,29,572,
/INDS/PHI3,29,375,
