<expr>,capture.hostname,Client/Zone,traffic,
/TISH/1230,acc-capture-ny1-01,86,3941738524553,
/INDS/WC,acc-capture-sv2-02,82,1789244787202,
/INDS/PAS2,acc-capture-sv2-02,77,1368353267148,
/INDS/PCM,acc-capture-atl-01,71,168440384,
/INDS/WM,acc-capture-ny2-02,70,418981298016,
/INDS/WM,acc-capture-ny2-01,70,391107908396,
/INDS/DEM,acc-capture-atl-01,70,148799098,
/INDS/LA3,acc-capture-sv2-02,69,1676855918873,
/HUGO/KEAR,acc-capture-ny1-01,68,2193008229692,
/INDS/DART,acc-capture-ny1-01,68,1682747774499,
/INDS/NPB,acc-capture-sv2-01,65,1601543623731,
/INDS/STP,acc-capture-ny1-01,64,1523840883513,
/INDS/NYC,acc-capture-ny1-01,63,2673141428561,
/INDS/FSQ,acc-capture-sv2-01,61,1397628226345,
/EXEC/HIP,acc-capture-ny1-01,61,1089299197139,
/FOUR/LAND,acc-capture-ny1-01,60,2072955946899,
/INDS/GLEN,acc-capture-sv2-01,60,1862213452581,
/INDS/6060,acc-capture-sv2-02,60,1233823209586,
/INDS/SAN2,acc-capture-sv2-02,60,1157653708351,
/INDS/909,acc-capture-ny2-02,60,339155376885,
/INDS/909,acc-capture-ny2-01,60,303435342732,
/INDS/ABER,acc-capture-ny2-01,60,303431647621,
/INDS/ABER,acc-capture-ny2-02,58,337781577758,
/INDS/PLA,acc-capture-tx-01,57,1396278264232,
/INDS/TOR,acc-capture-ny2-01,55,217169632494,
/INDS/TOR,acc-capture-ny2-02,55,215911069095,
/UNI/BUF,acc-capture-ny2-02,55,94927442508,
/UNI/BUF,acc-capture-ny2-01,55,86487396736,
/INDS/BEL,acc-capture-se2-01,54,1320570212917,
/INDS/HY,acc-capture-ny2-01,53,550919687979,
/INDS/BCK,acc-capture-atl-01,53,78518367,
/INDS/PHX2,acc-capture-sv2-01,52,1376195146696,
/INDS/HY,acc-capture-ny2-02,52,612939193043,
/INDS/TAM2,acc-capture-atl-01,52,129656595,
/INDS/MIA,acc-capture-atl-01,51,197583684,
/INDS/TAM3,acc-capture-atl-01,51,72358678,
/INDS/LAS,acc-capture-ny2-02,50,242986310444,
/INDS/LAS,acc-capture-ny2-01,50,216933948484,
/INDS/BK,acc-capture-ny1-01,48,1068299828646,
/INDS/KC,acc-capture-tx-01,48,948051144560,
/CARR/1455,acc-capture-ny2-01,48,499028770245,
/INDS/BET,acc-capture-ny2-01,48,105654147757,
/INDS/BET,acc-capture-ny2-02,48,101084748321,
/INDS/1PP,acc-capture-ny1-01,47,2560144176902,
/INDS/AUS,acc-capture-tx-01,47,922047555415,
/CARR/1455,acc-capture-ny2-02,47,513503908225,
/INDS/MIA5,acc-capture-atl-01,47,97528535,
/INDS/SC,acc-capture-atl-01,47,90453444,
/TISH/VAR,acc-capture-ny1-01,46,1608397544250,
/INDS/NYC5,acc-capture-ny1-01,46,1149342432486,
/VX/DEN2,acc-capture-tx-01,46,979067173001,
/INDS/TEM,acc-capture-sv2-02,46,595457278949,
/INDS/CARM,acc-capture-ny2-02,46,241643753983,
/INDS/CARM,acc-capture-ny2-01,46,234231311133,
/INDS/SD,acc-capture-sv2-01,45,2109929539604,
/INDS/DED,acc-capture-ny1-01,45,1033328309689,
/INDS/DIV,acc-capture-ny2-01,45,296130557450,
/INDS/DIV,acc-capture-ny2-02,45,254634425488,
/INDS/HOU2,acc-capture-tx-01,44,1428799159181,
/INDS/BOULD,acc-capture-sv2-02,44,1197110462511,
/CARR/DIA,acc-capture-ny1-01,44,644625154780,
/INDS/ROSE,acc-capture-ny1-01,44,547515846127,
/INDS/NYC8,acc-capture-ny2-01,44,208189154045,
/INDS/PLA,acc-capture-ny1-01,44,1794878448,
/MAY/WAU,acc-capture-ny1-01,43,2698425489562,
/INDS/CHAR,acc-capture-ny1-01,43,1404173864580,
/INDS/BK2,acc-capture-ny1-01,43,713918859861,
/INDS/NYC8,acc-capture-ny2-02,43,209088216387,
/INDS/DC2,acc-capture-ny2-02,43,131211050646,
/INDS/DC2,acc-capture-ny2-01,43,112671884472,
/ES/MS,acc-capture-ny1-01,42,2052556207217,
/SER/KAN,acc-capture-tx-01,42,1212115123923,
/INDS/COL2,acc-capture-ny2-02,42,555277951931,
/INDS/COL2,acc-capture-ny2-01,42,498334473059,
/INDS/DC,acc-capture-ny2-02,42,205051364992,
/TISH/BEV,acc-capture-sv2-02,41,899864083083,
/ES/MS,acc-capture-ny2-01,41,801146909731,
/ES/MS,acc-capture-ny2-02,41,749245021997,
/INDS/323,acc-capture-ny2-01,41,403589661466,
/INDS/DC,acc-capture-ny2-01,41,218366955286,
/INDS/BOST,acc-capture-ny2-01,41,171577352414,
/INDS/BOST,acc-capture-ny2-02,41,158660739352,
/INDS/DC3,acc-capture-ny1-01,40,713359072202,
/INDS/323,acc-capture-ny2-02,40,371694725637,
/JLL/RES,acc-capture-ny2-02,40,72388693323,
/JLL/RES,acc-capture-ny2-01,40,71391524554,
/INDS/BLS,acc-capture-ny1-01,39,899895075682,
/INDS/MAN,acc-capture-ny2-02,39,247781772935,
/INDS/MAN,acc-capture-ny2-01,39,240099299427,
