<expr>,rows.integrated.per_minute,
1711929600.0,6456,
1711929660.0,6944,
1711929720.0,6298,
1711929780.0,6270,
1711929840.0,6711,
1711929900.0,6758,
1711929960.0,8116,
1711930020.0,7355,
1711930080.0,6817,
1711930140.0,6919,
1711930200.0,7096,
1711930260.0,7989,
1711930320.0,6758,
1711930380.0,7053,
1711930440.0,7003,
1711930500.0,7249,
1711930560.0,7797,
1711930620.0,7952,
1711930680.0,6368,
1711930740.0,6740,
1711930800.0,6260,
1711930860.0,7033,
1711930920.0,7206,
1711930980.0,6202,
1711931040.0,6370,
1711931100.0,6737,
1711931160.0,6780,
1711931220.0,6448,
1711931280.0,7229,
1711931340.0,6805,
1711931400.0,6693,
1711931460.0,6725,
1711931520.0,5910,
1711931580.0,6312,
1711931640.0,6246,
1711931700.0,6337,
1711931760.0,7075,
1711931820.0,6746,
1711931880.0,7041,
1711931940.0,6363,
1711932000.0,5552,
1711932060.0,6496,
1711932120.0,6257,
1711932180.0,5991,
1711932240.0,5909,
1711932300.0,5992,
1711932360.0,6634,
1711932420.0,6064,
1711932480.0,6093,
1711932540.0,5847,
1711932600.0,5809,
1711932660.0,6839,
1711932720.0,6154,
1711932780.0,6589,
1711932840.0,6111,
1711932900.0,5788,
1711932960.0,6243,
1711933020.0,6398,
1711933080.0,5709,
1711933140.0,5671,
1711933200.0,6085,
1711933260.0,7210,
1711933320.0,6160,
1711933380.0,5997,
1711933440.0,5715,
1711933500.0,6043,
1711933560.0,6869,
1711933620.0,5953,
1711933680.0,6109,
1711933740.0,6162,
1711933800.0,6167,
1711933860.0,6904,
1711933920.0,5672,
1711933980.0,6121,
1711934040.0,6494,
1711934100.0,6359,
1711934160.0,6355,
1711934220.0,6158,
1711934280.0,6311,
1711934340.0,6557,
1711934400.0,6625,
1711934460.0,7008,
1711934520.0,6483,
1711934580.0,6097,
1711934640.0,6736,
1711934700.0,6489,
1711934760.0,6700,
1711934820.0,6191,
1711934880.0,6783,
1711934940.0,6777,
1711935000.0,7269,
1711935060.0,7691,
1711935120.0,8138,
1711935180.0,7134,
1711935240.0,6636,
1711935300.0,7015,
1711935360.0,6785,
1711935420.0,7130,
1711935480.0,6590,
1711935540.0,6444,
1711935600.0,6426,
1711935660.0,6843,
1711935720.0,6303,
1711935780.0,6205,
1711935840.0,6512,
1711935900.0,6297,
1711935960.0,6963,
1711936020.0,6202,
1711936080.0,6904,
1711936140.0,6233,
1711936200.0,6632,
1711936260.0,6665,
1711936320.0,6391,
1711936380.0,6467,
1711936440.0,6364,
1711936500.0,6138,
1711936560.0,6923,
1711936620.0,6752,
1711936680.0,6448,
1711936740.0,5974,
1711936800.0,6321,
1711936860.0,6942,
1711936920.0,5714,
1711936980.0,5825,
1711937040.0,5950,
1711937100.0,6504,
1711937160.0,6394,
1711937220.0,6609,
1711937280.0,6370,
1711937340.0,6048,
1711937400.0,6226,
1711937460.0,6668,
1711937520.0,6880,
1711937580.0,6277,
1711937640.0,6152,
1711937700.0,6142,
1711937760.0,7210,
1711937820.0,6016,
1711937880.0,6289,
1711937940.0,5891,
1711938000.0,5935,
1711938060.0,6809,
1711938120.0,6167,
1711938180.0,6641,
1711938240.0,6783,
1711938300.0,6692,
1711938360.0,6781,
1711938420.0,6082,
1711938480.0,6059,
1711938540.0,6014,
1711938600.0,5602,
1711938660.0,6834,
1711938720.0,5673,
1711938780.0,5746,
1711938840.0,6114,
1711938900.0,5829,
1711938960.0,5885,
1711939020.0,6098,
1711939080.0,5825,
1711939140.0,6321,
1711939200.0,5538,
1711939260.0,6666,
1711939320.0,6082,
1711939380.0,6190,
1711939440.0,6541,
1711939500.0,6001,
1711939560.0,6913,
1711939620.0,6227,
1711939680.0,6472,
1711939740.0,6059,
1711939800.0,5766,
1711939860.0,6507,
1711939920.0,5861,
1711939980.0,6377,
1711940040.0,5923,
1711940100.0,5711,
1711940160.0,6292,
1711940220.0,6606,
1711940280.0,6964,
1711940340.0,6479,
1711940400.0,5948,
1711940460.0,6652,
1711940520.0,5803,
1711940580.0,5973,
1711940640.0,5724,
1711940700.0,5707,
1711940760.0,6221,
1711940820.0,6040,
1711940880.0,6260,
1711940940.0,6570,
1711941000.0,5790,
1711941060.0,6578,
1711941120.0,6685,
1711941180.0,6118,
1711941240.0,6590,
1711941300.0,6286,
1711941360.0,6737,
1711941420.0,6252,
1711941480.0,6221,
1711941540.0,6172,
1711941600.0,5893,
1711941660.0,6432,
1711941720.0,5807,
1711941780.0,6025,
1711941840.0,6008,
1711941900.0,6195,
1711941960.0,6335,
1711942020.0,5758,
1711942080.0,5874,
1711942140.0,6623,
1711942200.0,6112,
1711942260.0,6494,
1711942320.0,6006,
1711942380.0,6100,
1711942440.0,5975,
1711942500.0,5803,
1711942560.0,6863,
1711942620.0,6253,
1711942680.0,6270,
1711942740.0,6069,
1711942800.0,5839,
1711942860.0,6329,
1711942920.0,6179,
1711942980.0,6342,
1711943040.0,6201,
1711943100.0,5926,
1711943160.0,6037,
1711943220.0,5865,
1711943280.0,6178,
1711943340.0,5808,
1711943400.0,5724,
1711943460.0,6167,
1711943520.0,6440,
1711943580.0,6467,
1711943640.0,5570,
1711943700.0,5486,
1711943760.0,5884,
1711943820.0,5948,
1711943880.0,6224,
1711943940.0,5759,
1711944000.0,6109,
1711944060.0,6489,
1711944120.0,5868,
1711944180.0,6016,
1711944240.0,6040,
1711944300.0,6037,
1711944360.0,6391,
1711944420.0,6573,
1711944480.0,6361,
1711944540.0,6506,
1711944600.0,6235,
1711944660.0,7075,
1711944720.0,6253,
1711944780.0,6379,
1711944840.0,6123,
1711944900.0,6481,
1711944960.0,6293,
1711945020.0,5720,
1711945080.0,6161,
1711945140.0,5689,
1711945200.0,5645,
1711945260.0,6744,
1711945320.0,6107,
1711945380.0,6101,
1711945440.0,6049,
1711945500.0,6116,
1711945560.0,6629,
1711945620.0,6538,
1711945680.0,6174,
1711945740.0,6348,
1711945800.0,6109,
1711945860.0,6658,
1711945920.0,5976,
1711945980.0,6116,
1711946040.0,5868,
1711946100.0,6106,
1711946160.0,6927,
1711946220.0,6600,
1711946280.0,6614,
1711946340.0,6820,
1711946400.0,6626,
1711946460.0,7242,
1711946520.0,6752,
1711946580.0,6322,
1711946640.0,6377,
1711946700.0,6801,
1711946760.0,6649,
1711946820.0,6012,
1711946880.0,6894,
1711946940.0,5921,
1711947000.0,6083,
1711947060.0,6907,
1711947120.0,6053,
1711947180.0,6268,
1711947240.0,6454,
1711947300.0,6351,
1711947360.0,6426,
1711947420.0,5765,
1711947480.0,5953,
1711947540.0,6015,
1711947600.0,6187,
1711947660.0,6493,
1711947720.0,6541,
1711947780.0,6766,
1711947840.0,7297,
1711947900.0,6422,
1711947960.0,6565,
1711948020.0,5955,
1711948080.0,5707,
1711948140.0,6243,
1711948200.0,6084,
1711948260.0,6854,
1711948320.0,6103,
1711948380.0,6142,
1711948440.0,6171,
1711948500.0,6134,
1711948560.0,6483,
1711948620.0,5965,
1711948680.0,5882,
1711948740.0,6020,
1711948800.0,5980,
1711948860.0,6555,
1711948920.0,5792,
1711948980.0,5996,
1711949040.0,5799,
1711949100.0,6114,
1711949160.0,6859,
1711949220.0,6092,
1711949280.0,6058,
1711949340.0,5722,
1711949400.0,5972,
1711949460.0,6463,
1711949520.0,5898,
1711949580.0,5966,
1711949640.0,5654,
1711949700.0,5724,
1711949760.0,6272,
1711949820.0,6060,
1711949880.0,5917,
1711949940.0,5423,
1711950000.0,5652,
1711950060.0,6300,
1711950120.0,6146,
1711950180.0,5658,
1711950240.0,5847,
1711950300.0,5941,
1711950360.0,6250,
1711950420.0,5691,
1711950480.0,6226,
1711950540.0,6086,
1711950600.0,6102,
1711950660.0,6622,
1711950720.0,5912,
1711950780.0,6146,
1711950840.0,5669,
1711950900.0,5793,
1711950960.0,6282,
1711951020.0,5844,
1711951080.0,5817,
1711951140.0,5485,
1711951200.0,6152,
1711951260.0,6780,
1711951320.0,5523,
1711951380.0,5696,
1711951440.0,5957,
1711951500.0,5645,
1711951560.0,6426,
1711951620.0,6079,
1711951680.0,5702,
1711951740.0,5415,
1711951800.0,5520,
1711951860.0,6166,
1711951920.0,5944,
1711951980.0,5870,
1711952040.0,5756,
1711952100.0,6123,
1711952160.0,6767,
1711952220.0,6052,
1711952280.0,6214,
1711952340.0,5941,
1711952400.0,6452,
1711952460.0,6988,
1711952520.0,6104,
1711952580.0,5744,
1711952640.0,5694,
1711952700.0,5734,
1711952760.0,6395,
